G78                                  25th June, 1896.
N(Z)ES.
Ail:ii.il-II.).rd:C:ipt. Sir A  F.         CUrZIm1HiJLLGN(LaIIcS-W        Hi.hh.iril <http://Hi.hh.iril>, Hon Evelyn
Allso-ip, Hon. George                  fiUCnrzon, Viscount (Bucks.)              Hudsnn. Gi-nr.;,- Hi.·',, r.**.·}
Botholl, Commander                        Fis in, Fro-ierick William                Legh, Hon. Tli.iui-isW.fL' <http://Tli.iui-isW.fL'>>:
Biddulpli, Michael                        8l'Fity.Gorald,R.l'iiiaoke Penrose        Leighton, Stanley
Hill, Charles                                     Fit/. Wvgram. Sir Frederick            Llewellyn, Evan H1(SiM
Blundoll, Colonel Henry                  Fletcher!'Sir Henry                   !ÍOLoektviÍod.Lt.-Cid.A.II.-E-i
'.>5Hond, Edward                                   Folkestone, Viscount                       Lodor, Gerald Walter Hm
Boiisfiohl. William Robert               Forwood, IH. Hn. Sir Arthur B.        Long.CoI.ChariesWlF.rrf
Bowles,Capi H. F. (Middlesex    i.5Fostor, Colonel (Lancaster)            L-.iig,Rt.Hn.Walter,Ursa
Hr.issey, Alh.rt                                Fiy, Lewis                                        Loyd, Archie Kirkm-in
Brodrick, Hon. St. John                  Gallowav, William Johnson       i45Lubhork, Ht. Una. Sir-I.-'.·?
30l5rooktiolil, A. Montagu                   G.ufit, William                                Luc.is-Shadwe I. Willie:
Brown, Alox-iii'Ier II.                      Gibbs, Hon. Vieary ( St. Albans        Lyttolton, Hon. Alfred
???'?.???, Sir Harry                       9i'Got]son, Augustus Frederick           Macartney, W. G. KlIi-:
Htnio, Edmund VViddriiiiitoii          Goldsworthv. Major-General           Macilona, John Cnnim-..·
Carson, Edward                                Gordon, John Edward                150M Calniont,C.i|.H.(Ar.··.:
MCavcndi-h, H. F. (N. Lanes.)          Gorst, Ht. Hon. Sir John Eldon        M'lver, Lewis
Cavendish.V.C.W.iDoihyshire        Gosohen.Rt.IIn.G.J.iStG'rg's        M'Kilh.p, Jume*
Cavzor, Charles William"             95Gosclicn, George J. (Sussex)          Malcolm, Ian
Cecil, LonI Hugh                             Gou'dit.g, Edward Alfred                Maple, Sir John Hinnlr"
ChaloiiiT, Captain R. G. W.            Graham'. Henrv Robert              155Martin, Kichanl Hidiln';:
4<iChaml)erl.iin,Ht.Hon..I.(Hirin.        Gicen,Walfo.(ÍD.(Wedncsb'ry        Massoy-Main waring U-J
Chamhoil iin,.l.Austen (Worc'r        Gretlon, John                                  Milbank, Pow!· tt CliarV'*
Chaplin, Rt. Hon. Honrv           KlOGiill, Sir Cameron                           Mildmay. Frami« liinji.:-
Chelsoa, Visemnt          "                  Gunter, Colonel                                Milncr, Sir Frederick (r:·*.
Cochrane. Hon. Thos. H. A. E.        Hamilton, Rt. Hon. Lord Geo.  lGOMilward, Col-.nel Vict*
45Co»hill, Dougl-is Harry                   Hanbiiry.Rl Hon. Robert Wm.        Monckton, E !ward Phi!;
Cohen, Benjamin Loirs                   Hardt-,'Laurence                             Monk, Charles Jamen
Collin·«·, Rt. Hon. Jesse            105llan;j Thomas Leigh                       Mom, Edward Robert ??,
Coloiiiii.Sir.IohnCliiirl.-HReadv        Haslelt, Sir James Horner              More, Robert Jasper
Colston,Chas. Edw. H. Atlioíe        Heath. James                              165Mnrgnn.IIii.Fn-ii.lM«'.· <http://165Mnrgnn.IIii.Fn-ii.lM«'.·>.
MCooko.C.W.Rat'cüUefHeref'd        Holder, Angu-tus                            Morrison, Walter
Cotlon-.ludroll.Col. Edw. T. 1).        Hennon-Ilôd-ri',Rob rtTrotter        Mount, William Gfnrtf
Cmirtiiev. Rt. Hon. Lemianl II.   HOHirkman, Sir Alfred                       Mowbray. Rt. Hun. Ar ? a
Cranliorno, Viscount                        Hill.Rt.lln.Lord Arthur(Down        Murray, Andrew Grains.a
Cripps, ('liarlos Allred                     Hill,Sir Edward Stock ( Bristol  WOMurray, Charlie J.fC«.'.!
55Cr«..vs, I U-rh. Shepherd ( Bolton)        11 oaro.Ed w. Hrodie( I Iaiupstead        Myers, William Honrv
Criiddas, William Donaldson           lloaro. Samuel (Norwich)               Newdigato, Frami«-V-'-1
Cuhitt. lion. Honrv                    lí5lI(ihhouse, Henrv                             Nicol, Donald Nim*" , ,
Ciirrie. Sir Donald'                           IIopkinson, Allied                           Northcote.Hon.Sirll.r.·:1
