148
Kelly, Sir FitzRoy
Allen, William Shepherd
SAmberley, Vis-count
Andover, Viscount
Anstruther, Sir Robert
Anlrolius, Edmund
Armstrong, Kicliard
JOAyrton, Acton Sim.·*·
Aytoun, Roger Sitici dr
Bagwell, John
Baines, Edward
Barclay, Alexander Charles
15Baring, Hon.Tho.Geo <http://Hon.Tho.Geo>. (Penryn)
Barnes, Thomas
Barron, Sir Henry W.
Barry ,Charit« Robt (Dungarvan
NOES.
Barr}*, George Rich. (Cork Co.)
20UaSS, Arthur (Stafford)
BasM, Michael Thomas (Derby)
Baxter, William Edward
Bazlry, Thomas
Beaumont, II.Fred.(York,W. R.
25 Beaumont, W. B (Northum. S.)
Berkeley, Hon. Henry F.
Biddulph, Col. R. M. (Denbighs.
Biddulph, Michael (Herefordsh.
Blake, John Aloysius
30l)oiiliam-Carter, John
Uouverie, Rt. Hon. Edw. P.
Brecknock, Earl of
Brighter C. Ti I s ton (Greenwich
Bright, Julia ( liiritiiiigham)
35Brocklt*hu»t, John
Browne, Lord John Tho.(Mayo)
Bruce, Lord Charles (Wilts, ?
Bruce, Lord Ernest (Marlboro)
Bruce.Rt Hn. Hen.Austin(Mtt
40Bryau, George Leopold
Bulkcley, Sir Richard
Buller, Sir EdwardM. (Staff. N)
Butler,Chas.Salishury(To«rerE
Buxton, Charles (Surrey, E)
45Buxton, Sir T. F. (King'sLyn)
Calcraft, John Hales M.
Calthorpe,lln.Fred.H.W.Go*tt)
Campbell, Robert (Helston)
Candirli, John
60Cnrdwell, Rt. Hon. Edward
Caringtoii, I Ion. Charles Robt
Carnegie, linn. Charles
Cost lenisse, Viscount
Cave, Thomas (Barnstaple)
